scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,testRegisterClicked,0,"c8a1520d-8942-416d-8dd6-dcd39e31a793","2024-01-25T19:24:12.732323",12.0,"2024-01-25T19:24:12.744674",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,logout,0,"6df2c60e-7802-4884-8b52-8c7b47df7004","2024-01-25T19:24:12.927995",1.0,"2024-01-25T19:24:12.929018",PASSED,
"de.ssherlock.system_tests.ui.facelets.TestateUITest",0,testGradeValidators,0,"4cf14a94-d364-4300-b473-72741145ecb9","2024-01-25T19:24:13.169790",2.0,"2024-01-25T19:24:13.171845",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testCheckCorrectContent,0,"4da7f306-6a68-4328-822f-eed8acb951e2","2024-01-25T19:24:12.744104",2.0,"2024-01-25T19:24:12.746916",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLSuccess,0,"fe91abc6-b087-49b0-a3a3-901417724f6e","2024-01-25T19:24:12.964847",1.0,"2024-01-25T19:24:12.965875",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLSuccess,0,"64a8fa63-6a3d-437e-84b8-244f76eebae1","2024-01-25T19:24:12.727592",0.0,"2024-01-25T19:24:12.728476",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testEditHTMLSuccess,0,"f9d718fe-9c25-4579-85f1-b497f36b2eec","2024-01-25T19:24:12.506733",2.0,"2024-01-25T19:24:12.509053",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,testLoginSuccess,0,"e09597e9-4a27-4048-adf9-f4f1c8c7aa70","2024-01-25T19:24:12.508813",7.0,"2024-01-25T19:24:12.516701",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testCheckCorrectContent,0,"49813f11-4ed2-45da-926a-c690cd33e8ee","2024-01-25T19:24:12.712162",1.0,"2024-01-25T19:24:12.713269",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testChangeFaculty,0,"bec4a96d-cedc-4f6d-86b9-ae1466cf1f02","2024-01-25T19:24:13.084389",1.0,"2024-01-25T19:24:13.085607",PASSED,
"de.ssherlock.system_tests.ui.facelets.ProfileUITest",0,testCorrectContent,0,"4f12705b-f8dd-40db-81a4-ae52fc1cb812","2024-01-25T19:24:12.740003",7.0,"2024-01-25T19:24:12.747888",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToMyCourses,0,"ce63a29f-6dda-4fbf-b8b1-698c62017070","2024-01-25T19:24:12.867929",2.0,"2024-01-25T19:24:12.870331",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testChangeFaculty,0,"8c851abf-267f-4994-8b37-ad967451445f","2024-01-25T19:24:12.852728",1.0,"2024-01-25T19:24:12.854555",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToHelp,0,"3550be67-a09c-44b7-a921-537992e14a4d","2024-01-25T19:24:12.701187",0.0,"2024-01-25T19:24:12.702157",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testChangeFaculty,0,"d54e95cf-5358-4f47-9242-cbef6f5e8d36","2024-01-25T19:24:12.707976",13.0,"2024-01-25T19:24:12.721733",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testUploadImageFailure,0,"23c38cbd-17a8-4b5b-a6d7-dce5a4f32208","2024-01-25T19:24:13.055411",2.0,"2024-01-25T19:24:13.057759",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testCheckSearch,0,"9d19be46-a0be-46fb-811d-6306dd3acefc","2024-01-25T19:24:12.814839",0.0,"2024-01-25T19:24:12.815779",PASSED,
"de.ssherlock.system_tests.ui.facelets.PasswordResetUITest",0,testResetPassword,0,"bf14f1a7-d21f-4d3b-82f9-e42c74056438","2024-01-25T19:24:12.491535",15.0,"2024-01-25T19:24:12.507268",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,navigateToProfile,0,"5dcf2f0c-1abf-49d9-b2a6-718c60b2eabc","2024-01-25T19:24:12.973769",0.0,"2024-01-25T19:24:12.974498",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,testRegisterClicked,0,"173ba7c2-c4d5-472c-87e0-7e8e1680e2ca","2024-01-25T19:24:13.102914",0.0,"2024-01-25T19:24:13.103591",PASSED,
"de.ssherlock.system_tests.ui.facelets.FooterUITest",0,testFooter,0,"899bd721-f486-40aa-9aab-8c4c7de3b245","2024-01-25T19:24:12.491114",15.0,"2024-01-25T19:24:12.506851",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testCheckCorrectDates,0,"13fbfa77-4577-4418-b6e1-c0f4f5d2f8c3","2024-01-25T19:24:12.859216",0.0,"2024-01-25T19:24:12.859873",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testCheckCorrectContent,0,"2a364fc0-811e-4ab8-be3a-f4ca5ecd378a","2024-01-25T19:24:12.948488",1.0,"2024-01-25T19:24:12.950408",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testPrevButton,0,"8f122007-82cd-4556-ba9b-df17b36cd924","2024-01-25T19:24:12.718869",11.0,"2024-01-25T19:24:12.730827",PASSED,
"de.ssherlock.system_tests.ui.facelets.FooterUITest",0,testFooter,0,"eda29742-9838-416a-9f05-38c5b2123cf6","2024-01-25T19:24:12.727997",0.0,"2024-01-25T19:24:12.728964",PASSED,
"de.ssherlock.system_tests.ui.facelets.PasswordResetUITest",0,testResetPassword,0,"38429604-bc27-44b3-a1f0-66c6012bc315","2024-01-25T19:24:13.075023",1.0,"2024-01-25T19:24:13.076316",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testPrevButton,0,"393c0d75-74de-4948-bb05-29e78f1956fe","2024-01-25T19:24:13.096127",11.0,"2024-01-25T19:24:13.107163",PASSED,
"de.ssherlock.system_tests.ui.facelets.ExerciseDescriptionUITest",0,testCheckCorrectDates,0,"bbe9e1ef-fd22-43d5-93c3-3edd16ed2509","2024-01-25T19:24:12.505180",1.0,"2024-01-25T19:24:12.506606",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testLastButton,0,"eaf386b6-244e-43c5-878e-a5acf463c7ad","2024-01-25T19:24:12.860168",3.0,"2024-01-25T19:24:12.863545",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testCheckSearch,0,"42b46d8a-11ab-4692-b9cf-663ad4a0ff99","2024-01-25T19:24:12.495673",11.0,"2024-01-25T19:24:12.507161",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testSelectUser,0,"b13e8cdd-6808-44f0-ab52-064be8fe9c6a","2024-01-25T19:24:12.940553",1.0,"2024-01-25T19:24:12.941594",PASSED,
"de.ssherlock.system_tests.ui.facelets.CourseUserPaginationUITest",0,testNextButton,0,"3f808362-7ecc-4f8b-b76c-8cada9e53c8d","2024-01-25T19:24:13.087731",1.0,"2024-01-25T19:24:13.089372",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,"testPasswordForgottenClicked",0,"9218b6aa-ae91-4c16-8027-161188b3a308","2024-01-25T19:24:12.731195",4.0,"2024-01-25T19:24:12.735889",PASSED,
"de.ssherlock.system_tests.ui.facelets.LoginUITest",0,"testPasswordForgottenClicked",0,"d00614d8-3a8b-44bd-9d73-b029bcea55c7","2024-01-25T19:24:12.512877",8.0,"2024-01-25T19:24:12.521690",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testCheckCorrectContent,0,"40aea326-b762-4751-981e-b4a0e8d7ce72","2024-01-25T19:24:12.499347",7.0,"2024-01-25T19:24:12.507125",PASSED,
"de.ssherlock.system_tests.ui.facelets.NavbarUITest",0,logout,0,"3988fb41-5708-46ab-9e78-6f092bb275c4","2024-01-25T19:24:13.155841",0.0,"2024-01-25T19:24:13.156533",PASSED,
"de.ssherlock.system_tests.ui.facelets.AdminUserPaginationUITest",0,testSelectUser,0,"9a2abd09-ec43-4bcc-82a6-9b81cad238ad","2024-01-25T19:24:12.983575",0.0,"2024-01-25T19:24:12.984538",PASSED,
